STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
Bihar,Aithmeel,25.284,86.017,-5.2,-41.17,0.41
Bihar,Akola,25.24,86.025,-5.8,-42.28,4.14
Bihar,Amer,25.209,86.075,-5.74,-43.43,2.53
Bihar,Anantpura,25.173,86.117,-5.77,-43.77,2.39
Bihar,Anupgarh,25.42,86.034,-4.06,-35.06,-2.61
Bihar,Asalpur,25.378,86.466,-6.25,-48.53,1.45
Bihar,Awai,25.378,86.466,-7.1,-51.62,5.18
Bihar,Babdkamla,25.319,86.495,-6.72,-46.19,7.54
Bihar,Bagrana,25.331,86.493,-6.02,-42.38,5.81
Bihar,Balesar,25.303,86.403,-5.62,-41.96,3.01
Bihar,Bali,25.303,86.403,-5.43,-44.17,-0.73
Bihar,Balodh,25.318,86.446,-7.09,-50.27,6.47
Bihar,Balwana,25.271,86.592,-5.39,-38.82,4.27
Bihar,Bamanwas,25.26,86.606,-6.19,-45.04,4.46
Bihar,Bandanwara,25.242,86.658,-7.01,-52.95,3.16
Bihar,Bandh Baretha,25.243,86.718,-5.98,-41.78,6.06
Bihar,Banera Mataji,25.26,86.222,-6.54,-47.04,5.26
Bihar,Bansen,25.251,86.229,-2.93,-29.83,-6.39
Bihar,Barar,25.266,86.223,-6.24,-48.59,1.34
Bihar,Barasni,25.3988,86.9223,-6.5,-46.74,5.25
Bihar,Bari,25.3858,87.1071,-4.46,-33.43,2.24
Bihar,Bau,25.3978,87.1713,-4.8,-34.03,4.36
Bihar,Beawar,25.4492,87.255,-4.8,-38.54,-0.1
Bihar,Bhandarej,25.5353,87.3404,-6.99,-48.66,7.25
Bihar,Bhanpur Kilan,25.5046,87.3752,-5.84,-43,3.72
Bihar,Bharela-Mod,25.3391,87.6229,-5.88,-40.22,6.82
Bihar,Bigod,25.3278,87.7453,-5.58,-40.7,3.91
Bihar,Bijolia,25.4939,87.3813,-6.66,-44.19,9.09
Bihar,Biramsar,25.244,86.929,,,
Bihar,Biramsar,25.244,86.929,-6.64,-45.61,7.54
Bihar,Birmana,25.118,86.988,-3.58,-29.04,-0.41
Bihar,Bodal,25.231,86.988,-5.16,-37.99,3.3
Bihar,Chabra,25.231,87.075,-5.55,-39.8,4.57
Bihar,Chandurwala,25.216,87.137,-5.79,-44.44,1.86
Bihar,Chattarpur,25.218,87.173,-5.85,-43.96,2.84
Bihar,Chowara,25.685,87.216,-4.39,-38.28,-3.12
Bihar,Chunawad,25.285,87.421,-6.95,-53.71,1.9
Bihar,Dadrewa,25.243,87.399,-6.98,-50.68,5.2
Bihar,Dara,25.234,87.0538,-6.26,-43.57,6.55
Bihar,Dasuk,25.2219,87.1088,-5.44,-40.65,2.84
Bihar,Dawach,25.2586,87.2275,-5.67,-42.79,2.55
Bihar,Deeg,25.1914,87.2569,-6.37,-43.44,7.54
Bihar,Delwan,25.2298,87.271,-6.21,-46.65,3.06
Bihar,Derasar,25.2903,87.4173,-6.61,-49.12,3.72
Bihar,Devakhera,25.2458,87.4093,-6.13,-44.82,4.21
Bihar,Dhankiya,25.2675,87.4786,-5.3,-43.15,-0.73
Bihar,Dhola,25.3403,87.4185,-6.4,-44.83,6.37
Bihar,Dholipal,25.2409,86.9231,-5.17,-39.42,1.98
Bihar,Didwana,25.1214,86.9856,-3.57,-29.98,-1.39
Bihar,Dighal,25.1661,87.0085,-5,-35.66,4.32
Bihar,Dikoliya,25.3346,87.1747,-5.73,-45.88,-0.01
Bihar,Dudwa,25.2998,87.1937,-5.67,-45.06,0.3
Bihar,Fatehpur,25.321,87.1068,-7.61,-54.55,6.37
Bihar,Gadepan,25.2533,86.8945,-6.43,-46.88,4.55
Bihar,Gaindoli,25.377,85.051,-6.18,-43.95,5.48
Bihar,Gainta,25.479,85.368,-5.84,-45.15,1.58
Bihar,Gandehali,25.504,85.321,-5.75,-36.53,9.48
Bihar,Ganeshgarh,25.357,85.651,-5.74,-46.73,-0.78
Bihar,Ganeshpura,25.53,85.178,-6.52,-42.86,9.31
Bihar,Ghantel,25.305,85.843,-5.97,-40.09,7.65
Bihar,Ghotaru,25.374,85.902,-6.03,-48.08,0.17
Bihar,Ghugra,25.333,84.827,-5.55,-36.89,7.49
Bihar,Girdharpura,25.342,84.863,-6.04,-45.77,2.54
Bihar,Goelo,25.433,85.313,-5.55,-41.58,2.85
Bihar,Gokalpura,25.45,85.088,-6,-44.76,3.26
Bihar,Goluwala,25.509,85.3,-5.4,-42.27,0.95
Bihar,Gonera,25.208,84.767,-5.51,-43.64,0.45
Bihar,Guda Chanderji,25.409,85.072,-5.68,-43.6,1.83
Bihar,Gudli,25.615,84.788,-5.21,-41.2,0.52
