STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
Gujarat,Kalyanpur,23.9605,72.2401,-4.79,-32.65,5.7
Gujarat,Patan,23.839,72.1253,-3.4,-22.83,4.38
Gujarat,Chanasma,23.7135,72.0986,-5.81,-40.27,6.21
Gujarat,Harij,23.6891,71.919,-5.96,-40.61,7.11
Gujarat,Mujpur,23.5882,71.8612,-1.34,-14.82,-4.08
Gujarat,Ranavada,23.7942,71.737,-4.03,-28.88,3.35
Gujarat,sabdalpur,23.7714,71.625,-3.82,-27.76,2.83
Gujarat,Kamalpur,23.7754,71.4017,4.51,18.43,-17.69
Gujarat,Piprala,23.6463,71.0968,-3.66,-28.12,1.19
Gujarat,Gagodar,23.4188,70.5145,-2.66,-19.08,2.21
Gujarat,Lilpur,23.5263,70.5145,-4.35,-33.7,1.09
Gujarat,Nandasar ,23.602,70.6463,-3.47,-28.68,-0.92
Gujarat,Ratanpur,23.8622,70.3625,-3.88,-28.23,2.8
Gujarat,Dholavira,23.878,70.2159,-3.46,-23.85,3.82
Gujarat,Suvoi,23.6138,70.4957,-2.87,-24.12,-1.15
Gujarat,Sedat,23.1714,69.6375,-4.44,-31.06,4.44
Gujarat,Sukhpur,23.1987,69.6071,-4.52,-32.34,3.85
Gujarat,Haboi,23.3551,69.8553,-4.94,-33.73,5.77
Gujarat,Lodai,23.3958,69.8985,-4.92,-38.64,0.68
Gujarat,Rudramata,23.3751,69.7137,-2.65,-26.46,-5.28
Gujarat,Khawada,23.8374,69.7274,-4.37,-27.31,7.69
Gujarat,Chandranagar,23.4491,69.4015,-1.08,-9.95,-1.31
Gujarat,Sukhpur,23.3875,69.2918,-4.05,-30.96,1.44
Gujarat,Ugardi,23.4529,69.143,-4.38,-34.65,0.4
Gujarat,Mata No Madh,23.5473,68.9479,-5.22,-40.63,1.16
Gujarat,Moticher,23.7691,68.6582,-0.12,-0.17,0.76
Gujarat,Kanoj,23.6747,68.5718,0,-0.74,-0.74
Gujarat,Suthri,23.031,68.9181,-2.75,-22.29,-0.28
Gujarat,Mothala,23.2031,69.1356,-1.44,-12.24,-0.71
Gujarat,Kothara,23.1634,68.9088,-2.35,-19.47,-0.65
Gujarat,Bambhadai,22.9411,69.0817,-4.03,-29.22,2.99
Gujarat,Kotadi,23.0475,69.1865,-3.2,-23.95,1.64
Gujarat,Vadala,22.9167,69.8539,-2.03,-19.22,-3.02
Gujarat,Nagavaladiya,22.9742,70.0012,1.57,-0.69,-13.26
Gujarat,Satapar,23.1694,70.0424,-2.62,-23.61,-2.67
Gujarat,gandhidham,23.0996,70.1482,-1.18,-10.2,-0.76
Gujarat,Gharana,23.3353,70.54,-3.3,-26.18,0.21
Gujarat,Bhandupara,23.7247,72.3778,-3.74,-27.33,2.55
Gujarat,Dosaj,23.8446,72.4465,-2.82,-23.47,-0.9
Gujarat,Palanpur,24.2539,72.472,-4.64,-33.07,4.08
Gujarat,Amirgadh,24.4024,72.6483,-3.53,-25.59,2.68
Gujarat,Ganapipli,24.2936,72.9467,-3.97,-31.47,0.27
Gujarat,Rampura-1,23.8843,72.5197,-2.27,-20.45,-2.3
Gujarat,Sodapur,24.4,72.2964,-3.63,-29.26,-0.25
Gujarat,Khoda ,24.6569,71.7708,-9.29,-69.26,5.03
Gujarat,Kharpur,24.3708,71.6122,-8.31,-57.17,9.27
Gujarat,Dhima,24.459,71.5218,-5.22,-35.61,6.15
Gujarat,Tadav,24.4971,71.4115,-6.23,-43.09,6.78
Gujarat,Gidasan Moti,23.9991,72.49,-3.46,-23.62,4.1
Gujarat,Timba ,23.9906,72.761,-6.97,-46.34,9.45
Gujarat,Khatoda,23.7954,72.622,-3.27,-25.12,1.04
Gujarat,Asjol,23.5083,72.1833,-4.51,-30.01,6.03
Gujarat,Budasan,23.2875,72.375,-2.03,-12.74,3.52
Gujarat,Maguna,23.5778,72.2889,-3.76,-27.54,2.54
Gujarat,Gamij,23.0621,72.8846,-2.6,-19.55,1.25
Gujarat,Ranpur,22.3448,71.7216,-1.22,-10.66,-0.9
Gujarat,Barvala,22.1624,71.8943,-1.61,-13.01,-0.14
Gujarat,Dholka,22.7149,72.4378,-2.71,-19.21,2.46
Gujarat,Bavla,22.835,72.3651,-3.45,-23.26,4.34
UT,Kabarsthan ,20.7216,70.9811,-0.92,-6.51,0.85
Gujarat,Visawada,21.7753,69.4538,-2.08,-17.39,-0.76
Gujarat,Bhod,21.6804,69.7983,-2.98,-19.44,4.39
Gujarat,Dhavsan,21.5173,69.9639,-1.05,-9.15,-0.78
Gujarat,Pata ,21.2871,69.9356,-1.62,-11.89,1.07
Gujarat,Dabhel,20.368,72.8879,-1.28,-4.08,6.15
Gujarat,Virpur,23.6494,72.9565,-3.04,-22.5,1.79
Gujarat,Chandap,23.9246,72.8446,-3.7,-29.21,0.37
Gujarat,Ged,23.6257,73.4794,-3.88,-30.98,0.03
Gujarat,Kesharpura,23.9194,73.1522,-4,-27.72,4.3
Gujarat,Silwad,23.0157,73.1153,-3.31,-25.17,1.32
Gujarat,Khorwada,23.9513,73.2778,-4.34,-30.7,4
Gujarat,Punasan,23.6691,73.1781,-3.38,-22.92,4.14
Gujarat,Meghraj,23.4947,73.5057,-3.34,-26.24,0.44
Gujarat,Medasan,23.5445,73.229,-3.64,-25.11,4.01
Gujarat,Kesharpura (Mayal),23.3197,72.9514,-2.64,-19.72,1.36
Gujarat,Karampur,23.3878,73.3185,-1.57,-16.85,-4.3
Gujarat,Bayad,23.2207,73.214,-2.32,-18.13,0.46
Gujarat,Malpur,23.3641,73.46,-4.1,-27.73,5.06
Gujarat,Nidrad,23.0723,72.0252,-3.38,-27.37,-0.35
Gujarat,Viramgam,23.1215,72.0522,-1.59,-13.94,-1.22
Gujarat,Mandal,23.2887,71.9138,-1.8,-16.76,-2.38
Gujarat,Bhankoda,23.2789,72.1148,-3.28,-23.04,3.2
Gujarat,"Vatva, Saritapark soc.",22.949,72.6243,-2.86,-23.82,-0.94
Gujarat,Moti Bhalu OW of EW II,24.0443,72.7125,-5.38,-37.82,5.21
Gujarat,Kanjeli,23.948,72.9599,-3.97,-33.6,-1.83
Gujarat,Kanesara,23.8884,72.3383,-3.37,-24.89,2.06
Gujarat,Khoraj Dabhi OW I,23.3844,72.5225,-2.79,-21.34,1.02
