STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
KARNATAKA,BADAMI,15.9354,75.6756,-1.6,-14.51,-1.72
KARNATAKA,GULEDUGUDDA SUNNETY,16.047,75.759,-3.58,-22.36,6.26
KARNATAKA,HUNGUND,16.0496,76.0654,-0.23,0.44,2.3
KARNATAKA,JAMKHANDI A,16.5091,75.257,0.58,0.14,-4.48
KARNATAKA,MUDHOL A,16.3308,75.2865,-0.69,-2.99,2.56
KARNATAKA,TEGGI,16.3693,75.5563,-0.75,-2.96,3.05
KARNATAKA,DEVANAHALLI,13.2428,77.7178,-4.85,-31.68,7.12
KARNATAKA,AVATHI,13.296,77.7252,-2.72,-16.74,5.04
KARNATAKA,DODBALLAPUR,13.2428,77.7178,-2.65,-20.19,1.02
KARNATAKA,GOLLAHALLI,14.2928,77.5425,-3.52,-17.43,10.72
KARNATAKA,ATHNI,16.7272,75.0608,0.18,2.11,0.67
KARNATAKA,SAUNDATTI,15.7656,75.1131,0.31,3.1,0.61
KARNATAKA,BELAKUD,16.3589,74.6542,-1.03,-10.39,-2.17
KARNATAKA,ARABHAVI,16.2186,74.8228,-1.56,-2.73,9.72
KARNATAKA,HUKKERI,16.2411,75.08,-1.81,-10.65,3.87
KARNATAKA,RAMDURG,15.9533,75.2881,-1.88,-7.97,7.05
KARNATAKA,SALAHALLI,16.0747,75.2272,-1.89,-12.58,2.51
KARNATAKA,RAYBAG,16.4881,74.7808,-1.36,-2.18,8.68
KARNATAKA,ALLIPURAM,15.1574,76.8817,-1.03,-1.34,6.89
KARNATAKA,HALAKUNDI,15.0856,76.8849,-2.96,-19.86,3.8
KARNATAKA,HADAHALLI,15.0206,75.9324,-3.3,-19.68,6.7
KARNATAKA,HOLGUNDI,15.0406,76.0066,-2.64,-14.86,6.28
KARNATAKA,ULAVATHI,14.9962,76.1615,-1.87,-12.79,2.16
KARNATAKA,GUDEKOTE,14.8302,76.6285,-2.91,-17.57,5.7
KARNATAKA,KUDLIGI,14.9035,76.3892,-2.04,-7.74,8.6
KARNATAKA,ISLAMPUR,17.8039,77.0157,-2.29,-15.93,2.39
KARNATAKA,BASAVANA BAGEWADI,16.5654,75.9598,-1.67,-15.68,-2.29
KARNATAKA,BIJAPUR A,16.8301,75.6948,-1.16,-3.46,5.8
KARNATAKA,BARDOL,17.2777,75.7279,-1.03,-5.28,2.99
KARNATAKA,MUDDEBIHAL A,16.3412,76.1405,-1.5,-11.88,0.12
KARNATAKA,SINDGI,16.9205,76.2376,-0.86,-3.71,3.14
KARNATAKA,DODDERI,14.295,76.7043,-4.48,-30.3,5.56
KARNATAKA,KIRUBANAKALLU,14.2066,76.3736,-3.72,-20.41,9.38
KARNATAKA,VADDIKERE,14.1153,76.5988,-2.42,-23.07,-3.71
KARNATAKA,BASAPURA,14.0221,76.1159,-3.96,-22.63,9.01
KARNATAKA,R.GOLLARAHALLI,13.9278,76.1891,-3.38,-22.91,4.14
KARNATAKA,BENAKANAHALLI BUS STAND,13.8889,76.3047,-4.15,-25.47,7.72
KARNATAKA,BELAGUR,13.6283,76.2926,-0.85,-5.61,1.16
KARNATAKA,CHANNAGIRI,14.0246,75.9286,-1.44,-8.62,2.9
KARNATAKA,DAVANGERE A,14.4704,75.8999,-1.06,-2.82,5.69
KARNATAKA,HARAPANAHALLI,14.7842,75.9943,-1.35,-4.14,6.64
KARNATAKA,ARAKERE,14.2816,75.6921,-2.48,-15.27,4.54
KARNATAKA,BASAVAPURA A,14.5271,76.2522,-0.77,-2.86,3.29
KARNATAKA,BIDARKERE (PZ),14.4278,76.2964,-3.02,-20.06,4.07
KARNATAKA,NANDI TAVARE,14.4014,75.7737,-0.07,0.77,1.34
KARNATAKA,NAVALGUND,15.5593,75.3608,-1.78,-13.08,1.15
KARNATAKA,GADAG,15.4235,75.6339,-0.73,-4.82,0.98
KARNATAKA,MUNDARGI,15.2039,75.8887,-1.27,-7.87,2.26
KARNATAKA,NARGUND,15.7196,75.3818,0.12,0.46,-0.49
KARNATAKA,RON A,15.6856,75.7373,-1.69,-12.97,0.53
KARNATAKA,AFZALPUR,17.2036,76.3617,0.31,-1.26,-3.7
KARNATAKA,BATTARGA,17.4103,76.5658,-0.7,-11.22,-5.58
KARNATAKA,SHAHPUR,16.7075,76.8521,-2.12,-14.78,2.2
KARNATAKA,SHORAPUR,16.524,76.7559,-1.08,-5.37,3.26
KARNATAKA,GURMITKAL,16.8707,77.3914,-1.35,-9.05,1.74
KARNATAKA,HOSARITI (PZ),14.8967,75.5516,-1.74,-12.52,1.43
KARNATAKA,HIREKERUR,75.5516,15.3944,-1.44,-8.42,3.12
KARNATAKA,RANIBENNUR,14.6141,75.628,-1.84,-11.27,3.42
KARNATAKA,GULUR,13.8493,77.8404,-4.26,-25.06,9.06
KARNATAKA,MITTEMARI (PZ),13.6858,77.8633,-3.36,-20.82,6.1
KARNATAKA,SETTIGERE,13.5498,77.7476,-3.94,-24.08,7.47
KARNATAKA,NANDI (OZ) ,13.3828,77.6994,-4.09,-25.17,7.58
KARNATAKA,MOTAMAKALAHALLII,13.5983,78.0714,-4.77,-29.39,8.81
KARNATAKA,GAJAHALLI,13.3077,78.0656,-3.24,-20.57,5.35
KARNATAKA,GUDIBANDA,13.6702,77.7097,-3.03,-17.67,6.55
KARNATAKA,HAMPASANDRA,13.7396,77.7568,-3.97,-26.87,4.89
KARNATAKA,MADIVALA (PZ),13.2208,77.9719,-3.29,-19.28,7.05
KARNATAKA,DIBBURAHALLI (PZ),13.554,77.904,-3.87,-27.88,3.09
KARNATAKA,BEVINAHALLI,13.4941,77.4802,-3.85,-28.37,2.4
KARNATAKA,NAMAGONDALU,13.5764,77.606,-3.55,-22.97,5.39
KARNATAKA,GARUDADRIHALLI,12.9591,78.3231,-2.35,-17.55,1.22
KARNATAKA,BHIMGANAPALLI,12.8417,78.1701,-4.15,-26.12,7.09
KARNATAKA,ARABI KOTTANURU,13.1222,78.0414,-4.17,-27.87,5.52
KARNATAKA,NELAM,13.1579,78.1104,-4.41,-27.95,7.34
KARNATAKA,MITIGANAHALLI,12.988,78.0948,-4.18,-27.21,6.25
KARNATAKA,MALUR (PZ) ,13.0119,77.934,-3.3,-21.92,4.49
KARNATAKA,PETHANODAHALLI,13.2461,78.5014,-4.25,-32.42,1.61
KARNATAKA,KURUDMALE,13.2114,78.3667,-3.6,-22.22,6.55
KARNATAKA,LAKSMISAGARA (PZ),13.2425,78.2831,-3.4,-23.56,3.68
KARNATAKA,DALSANUR,13.275,78.1737,-6.46,-45.7,6.01
KARNATAKA,GANGAWATI,15.4476,76.5242,-0.51,0.71,4.8
KARNATAKA,KOPPAL,15.3535,76.1647,-0.77,-4.09,2.06
KARNATAKA,UMALIMULUR,15.8042,76.4196,-2.65,-21.05,0.13
KARNATAKA,YELBARGA,15.6071,76.0109,-2.08,-16.96,-0.35
KARNATAKA,DEODURG,16.424,76.9324,-1.34,-8.64,2.1
KARNATAKA,LINGSUGUR,16.1602,76.5217,-0.41,-4.24,-0.96
KARNATAKA,MANVI,15.9989,77.0416,-1.77,-10.67,3.53
KARNATAKA,RAICHUR,16.2022,77.3436,1.38,5.18,-5.83
KARNATAKA,SINDHNUR,15.789,76.7714,-0.46,-2.79,0.89
KARNATAKA,HULIYAR,13.5844,76.5406,-1.71,-14.74,-1.02
KARNATAKA,TIPTUR,13.2666,76.4676,-2.07,-14.16,2.4
KARNATAKA,PAVGADA,14.1174,77.2611,-4.91,-34.02,5.26
KARNATAKA,SIRA,13.7437,76.9084,-0.88,-10.79,-3.76
KARNATAKA,DABBEGHATTA,13.6744,77.1279,-3.72,-27.29,2.48
KARNATAKA,BIDARKERE,13.8719,77.2274,-4.39,-27.53,7.61
KARNATAKA,KORATAGERE,13.5202,77.2365,-0.73,-3.79,2.05
KARNATAKA,AKKIRAMPURA,13.5693,77.3048,-2.48,-15.24,4.61
KARNATAKA,ARASANAHALLI,13.3528,76.6135,-2.95,-16.22,7.35
KARNATAKA,JAYACHAMRAJPURA,13.4163,76.3507,-2.54,-13.41,6.92
KARNATAKA,DUNDANAYAKANAHALLI,12.9124,76.0473,-2.38,-13.37,5.65
KARNATAKA,D. KARPANAHALLI,13.0125,78.2328,,,0
KARNATAKA,OORGEEMPET,12.9669,78.2697,-2.69,-17.3,4.23
KARNATAKA,SHIVANAGERE,13.7247,77.0621,-3.62,-26.94,1.99
KARNATAKA,TOVINAKERE,13.5426,77.0853,-4.48,-29.53,6.3
