STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
Kerala,KOMMADI,9.5183,76.3278,-1.8,-6.5,8.26
Kerala,PATHIRAPPALLY,9.5422,76.3273,-1.4,-5.5,5.83
Kerala,VERUVALLY,9.6824,76.422,-1.9,-7.8,7.5
Kerala,THOOKKULAM,9.4591,76.3406,-1.6,-4.9,7.66
Kerala,VAZHICHERRY,9.4994,76.334,-1.8,-6.6,7.93
Kerala,"ST.JOSEPH CONVENT, ALAPPUZHA",9.4986,76.3294,-1.8,-6.7,7.38
Kerala,VELLAKKINAR-KWA,9.492,76.3305,-1.7,-5.5,8.5
Kerala,PUNNAPRA-THAYYIL ICE PLANT,9.4262,76.3495,-1.7,-7.3,6.62
Kerala,"THAKAZHY ST.RITA'S CONVENT GOVT. UP SCHOOL,",9.3748,76.4233,-1.8,-8,6.73
Kerala,THAKAZHY,9.3818,76.4246,-1.4,-5.7,5.2
Kerala,PUNTHALA-MATHSYA BHAVAN,9.3367,76.3722,-1.3,-5.8,4.89
Kerala,PALLANA MARKET-KWA,9.3021,76.388,-1.4,-4.4,6.86
Kerala,THRIKKUNNAPPUZHA PATHIYANKARA KWA,9.2409,76.4156,-1.7,-6.4,7.07
Kerala,PAZHAVEEDU-KWA,9.4771,76.3439,-1.9,-6.3,8.88
Kerala,CHANDANAKKAVU-KWA,9.4887,76.3429,-2.1,-6.9,9.9
Kerala,CHAMPAKKULAM ST.JOSEPH'S LP SCHOOL,9.4153,76.4088,-2,-7.2,8.77
Kerala,MUTTAM-NTPC,9.2652,76.4869,-2.1,-9,7.85
Kerala,ARUNNOOTTIMANGALAM (GP WELL),9.231,76.5793,-2.1,-7.1,9.48
Kerala,ARUNOOTTIMANGALAM (PVT. WELL),9.23,76.5762,-2.6,-10.3,10.55
Kerala,KARIMULAKKAL-ONAYATH MAIDANAM THAMARAKKULAM,9.1757,76.5908,-1.6,-9,3.57
Kerala,ERAPPAN PARA,9.1413,76.6081,-3,-16.4,8.02
Kerala,ARTHUNKAL-ARAVUKADU TEMPLE,9.6692,76.303,-1.6,-7.9,4.61
Kerala,VARANAD-MC DOWELLS,9.6922,76.3634,-1.6,-6.2,6.25
Kerala,PATTANAKKAD MENASSERRY,9.7318,76.3074,-2.8,-14.4,8.27
Kerala,VADIKKATT-KWA,9.5124,76.3443,-1.5,-7.3,4.59
Kerala,PUNNAPRA-SIYANA ICE PLANT,9.4337,76.3429,-2,-7,8.73
Kerala,KAYANKULAM-WOMENS POLYTECHNIC,9.1738,76.4951,-2.5,-12.4,7.48
Kerala,RAMANCHIRA,9.1312,76.5812,-3.6,-19.5,9.22
Kerala,EDATHUA-MAHA JUBILEE HOSPITAL,9.368,76.4781,-2.1,-8.5,8.62
Kerala,VAZHUTHANAM-KWA,9.304,76.479,-2.2,-10.2,7.19
