STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
Uttar Pradesh,Kandhari Kala,25.18,78.57,-5.64,-38.71,6.41
Uttar Pradesh,Jharar,25.12,78.46,-4.15,-28.57,4.63
Uttar Pradesh,Gundera,25.13,78.52,-3.03,-22.38,1.86
Uttar Pradesh,Kumar Bav,25.12,78.58,-2.19,-23.06,-5.54
Uttar Pradesh,Banguva Kala,25.06,78.39,-2.59,-25.31,-4.59
Uttar Pradesh,Pawa,25.09,78.47,-4.66,-32.79,4.49
Uttar Pradesh,Khero,25.05,78.51,-5.06,-35.22,5.26
Uttar Pradesh,Lakshiman,25.07,78.57,-4.25,-34.91,-0.91
Uttar Pradesh,Bedora,25.01,78.38,-4.13,-30.51,2.53
Uttar Pradesh,Bhamori,25.01,78.44,-4.62,-33.62,3.34
Uttar Pradesh,Karenga,25.03,78.54,-5.1,-35.33,5.47
Uttar Pradesh,Mulli,25.03,78.6,-4.55,-30.11,6.29
Uttar Pradesh,Budeni,24.94,78.32,-5.42,-36.42,6.94
Uttar Pradesh,Paro,24.97,78.39,-5.12,-34.34,6.62
Uttar Pradesh,Mangalpura,24.97,78.47,-4.59,-28.21,8.51
Uttar Pradesh,Bai Kala,24.96,78.51,-3.53,-29.39,-1.15
Uttar Pradesh,Sunpura,24.95,78.57,-3.01,-28.07,-3.99
Uttar Pradesh,Baswan,24.87,78.21,-5.39,-36.95,6.17
Uttar Pradesh,Mainwara,24.9,78.26,-4.19,-33.08,0.44
Uttar Pradesh,Jhakora,24.9,78.34,-1.26,-14.45,-4.37
Uttar Pradesh,Chitpura,24.89,78.39,-4.56,-31.46,5.02
Uttar Pradesh,Sorai,24.89,78.44,-4.91,-35.05,4.23
Uttar Pradesh,Mathura Dang,24.89,78.52,-4.97,-35.65,4.11
Uttar Pradesh,Gendura,24.89,78.6,-5.28,-34.96,7.28
Uttar Pradesh,Joranwali,24.89,78.64,-4.86,-33.36,5.52
Uttar Pradesh,Kisalwas,24.85,78.22,-5.38,-38.32,4.72
Uttar Pradesh,Sainkwar Kalan,24.84,78.27,-4.8,-37.63,0.77
Uttar Pradesh,Satgala,24.82,78.34,-3.59,-25.49,3.23
Uttar Pradesh,Adwara,24.84,78.4,-4.69,-34.22,3.3
Uttar Pradesh,Lakahnpur,24.84,78.46,-5.43,-38.86,4.58
Uttar Pradesh,Bastravan,24.84,78.52,-4.34,-28.23,6.49
Uttar Pradesh,Dasara,24.84,78.59,-4.23,-29.11,4.73
Uttar Pradesh,Pata Pachora,24.85,78.66,-5.65,-39.7,5.5
Uttar Pradesh,Makora,24.79,78.26,-5.14,-34.1,7.02
Uttar Pradesh,Nagra,24.78,78.31,-5.14,-33.13,7.99
Uttar Pradesh,Delwara Station,24.78,78.39,-4.89,-35.88,3.24
Uttar Pradesh,Parhawni,24.77,78.47,-4.32,-31.76,2.8
Uttar Pradesh,Gadiyana,24.79,78.54,-4.68,-29.43,8.01
Uttar Pradesh,Tolia,24.76,78.6,-5.23,-36.16,5.68
Uttar Pradesh,Udaipura,24.79,78.68,-4.67,-30.66,6.7
Uttar Pradesh,Kharon,24.78,78.75,-4.13,-25.77,7.27
Uttar Pradesh,Burhwar,24.72,78.34,-3.95,-27.59,4.01
Uttar Pradesh,Sewali Khurd,24.72,78.41,-3.26,-24.27,1.81
Uttar Pradesh,Rajwara,24.72,78.47,-5.19,-32.67,8.85
Uttar Pradesh,Khokhra,24.73,78.53,-5.15,-31.5,9.7
Uttar Pradesh,Rameshra,24.71,78.59,-5.18,-34.57,6.87
Uttar Pradesh,Chilla,24.72,78.68,-3.84,-26.3,4.42
Uttar Pradesh,Banpura,24.71,78.73,-4.95,-34.63,4.97
Uttar Pradesh,Dawani,24.66,78.34,-4.32,-32.74,1.82
Uttar Pradesh,Maheshpura,24.66,78.37,-4.38,-33.91,1.13
Uttar Pradesh,Masora Khurd,24.65,78.46,-5.23,-36.04,5.8
Uttar Pradesh,Anora,24.65,78.52,-4.83,-35.88,2.76
Uttar Pradesh,Tenga,24.65,78.61,-4.41,-32.89,2.39
Uttar Pradesh,Naiguan,24.66,78.67,-5.28,-38.18,4.06
Uttar Pradesh,Sunwaha,24.66,78.71,-4.2,-29.51,4.09
Uttar Pradesh,Kachdoom,24.58,78.28,-5.18,-34.08,7.36
Uttar Pradesh,Arapur,24.58,78.34,-4.75,-34.91,3.09
Uttar Pradesh,Maitrikalan,24.57,78.38,-4.03,-26.71,5.53
Uttar Pradesh,Bhairorai,24.61,78.45,-4.54,-33.4,2.92
Uttar Pradesh,Khitwas,24.59,78.55,-5.73,-39.94,5.9
Uttar Pradesh,Chilla,24.59,78.58,-4.24,-33.15,0.77
Uttar Pradesh,Kuraura,24.6,78.66,-4.29,-31.07,3.25
Uttar Pradesh,Mahruni,24.6,78.73,-4.43,-32.36,3.08
Uttar Pradesh,Aghora,24.57,78.79,-4.2,-30.05,3.55
Uttar Pradesh,Bangrua,24.59,78.87,-4.96,-32.76,6.92
Uttar Pradesh,Devgurh,24.52,78.26,-5.03,-33.89,6.35
Uttar Pradesh,Jamundhana,24.54,78.35,-3.54,-27.7,0.62
Uttar Pradesh,Rajoura,24.51,78.4,-5.42,-33.23,10.13
Uttar Pradesh,Biraka,24.54,78.49,-4.46,-32.89,2.79
Uttar Pradesh,Singapur,24.54,78.53,-4.68,-35.45,1.99
Uttar Pradesh,Jariya,24.54,78.62,-5.31,-35.94,6.54
Uttar Pradesh,Chauti,24.55,78.67,-4.18,-29.58,3.86
Uttar Pradesh,Chhayan,24.53,78.74,-4.38,-32.58,2.46
Uttar Pradesh,Khiriya Bharanju,24.53,78.82,-5.26,-35.86,6.22
Uttar Pradesh,Jamanjhir,24.52,78.88,-5.28,-35.77,6.47
Uttar Pradesh,Mainwar,24.52,78.92,-5.11,-33.6,7.28
Uttar Pradesh,Dojri,24.47,78.28,-3.84,-25.13,5.59
Uttar Pradesh,Kapani,24.46,78.33,-4.35,-32.58,2.22
Uttar Pradesh,Neel Khnath,24.48,78.39,-4.9,-34.47,4.73
Uttar Pradesh,Barodia,24.48,78.48,-4.11,-29.52,3.36
