STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
Rajasthan,Deopuri,26.4593,74.9370,-3.15,-25.95,-0.75
Rajasthan,Ankauriya,26.3622,75.0240,-2.33,-19.58,-0.94
Rajasthan,Jhadol,26.3560,74.9405,1.92,0.72,-14.64
Rajasthan,Pandarwara,26.3128,75.1144,-2.37,-22.02,-3.06
Rajasthan,Pandarwara,26.3128,75.1144,-3.18,-24.48,0.96
Rajasthan,Arain,26.4485,75.0483,-3.28,-26.93,-0.69
Rajasthan,Bhambholao,26.4455,75.1457,-3.63,-27.91,1.13
Rajasthan,Dhasook,26.3529,75.1074,-2.55,-18.32,2.08
Rajasthan,Borada,26.2080,75.0448,-2.39,-23.73,-4.61
Rajasthan,Manoharpura,26.2018,75.1387,-3.06,-26.59,-2.11
Rajasthan,Fatehgarh,26.1278,75.0274,-2.98,-22.8,1.04
Rajasthan,Birla,26.1340,75.1109,-4.54,-33.24,3.08
Rajasthan,Sapunda,26.0291,75.1440,-2.64,-22.85,-1.73
Rajasthan,Jaliya,25.9551,75.0361,-3.25,-26.01,-0.01
Rajasthan,Chandma,26.1216,74.8674,-4.27,-30.69,3.47
Rajasthan,Goyla,26.1216,74.9370,-1.55,-18.82,-6.42
Rajasthan,Neemra,25.9628,74.7718,-5.48,-40.19,3.65
Rajasthan,Bandanwan,26.1263,74.7127,-3.61,-30.92,-2.04
Rajasthan,Singawal,26.0338,74.6953,-3.49,-28.58,-0.66
Rajasthan,Ratakot,26.0523,74.6361,-1.53,-18.5,-6.26
Rajasthan,Padaliya,25.9613,74.8814,-3.82,-31.7,-1.14
Rajasthan,Shokaliya,26.2172,74.8779,-1.64,-18.78,-5.66
Rajasthan,Kerot,25.8811,74.9440,-3.24,-24.24,1.68
Rajasthan,Deoliya kala,25.8965,74.7909,-2.7,-26.53,-4.93
Rajasthan,Neemra,25.9505,74.9561,-2.35,-23.47,-4.67
Rajasthan,Kotra,26.0137,74.2066,-4.15,-32.45,0.75
Rajasthan,Nai kalan,25.9875,74.1857,-4.62,-35.43,1.53
Rajasthan,Kalinjar,25.9859,74.2657,-3.12,-28.44,-3.48
Rajasthan,Suhawa,,,-3.97,-34.15,-2.39
Rajasthan,Gohana,26.0260,74.2987,-3.73,-29.66,0.18
Rajasthan,Kharwa,26.2080,74.4431,-4.61,-35.05,1.83
Rajasthan,Shyam garh,26.1093,74.4414,-4.45,-35.32,0.28
Rajasthan,Masooda,26.1062,74.5266,-3.27,-29.1,-2.94
Rajasthan,Shergarh,26.0368,74.5492,-0.12,-12.36,-11.40
Rajasthan,Nandwara,26.0291,74.4866,-0.58,-13.72,-9.08
Rajasthan,Jhank,26.0276,74.3735,-3.25,-29.92,-3.92
Rajasthan,Jaliya li,25.9351,74.5631,-5.16,-36.64,4.64
Rajasthan,Sathana,25.9736,74.6414,-5.39,-40.67,2.45
Rajasthan,Sikharri,,,-4.63,-37.53,-0.49
Rajasthan,Ramgarh,25.9426,74.4586,-2.44,-26.13,-6.61
Rajasthan,Deogaon,26.1093,75.3005,-2.71,-26.18,-4.50
Rajasthan,Baghera,26.0260,75.3005,-4.85,-37.49,1.31
Rajasthan,Naiki,,,-2.22,-25.66,-7.90
Rajasthan,Chosla,25.8133,75.3144,-3.64,-29.3,-0.18
Rajasthan,Sawar,25.7685,75.2222,-1.979,-18.22,-2.39
Rajasthan,Mehroo kala,25.7809,75.1387,-3.403,-30.68,-3.46
Rajasthan,Para,25.8765,75.1927,0.83,-7,-13.64
Rajasthan,Bharai,25.8749,75.1161,-1.293,-18.57,-8.23
Rajasthan,Kadera,25.7994,75.0500,-1.414,-20.01,-8.70
Rajasthan,Shokya kher,25.7115,75.1040,-3.447,-29.62,-2.04
Rajasthan,Bajta,25.8456,75.2761,-3.246,-28.3,-2.33
Rajasthan,Rodawas,26.7091,74.7683,-5.084,-38.09,2.58
Rajasthan,Bhadoon,26.8649,74.9457,-4.366,-36.88,-1.95
Rajasthan,Gola,26.2188,74.3927,-5.608,-42.54,2.32
Rajasthan,Leeri,26.2142,74.5300,-4.874,-39.35,-0.36
Rajasthan,Govindgarh,26.4516,74.3753,-3.818,-31.23,-0.69
Rajasthan,Nand,26.4701,74.4640,-4.912,-36.91,2.39
Rajasthan,Pisangan,26.3915,74.3787,-4.432,-36.79,-1.33
Rajasthan,Nagelao,26.2974,74.3944,-5.178,-40.48,0.94
Rajasthan,Jethana,26.2897,74.4622,-4.836,-36.2,2.49
Rajasthan,Bidkachiyaw,26.2728,74.5561,-2.034,-24.85,-8.58
Rajasthan,Bhatiyani,26.2203,74.7927,-5.072,-37.41,3.17
Rajasthan,Aradka,26.6305,74.7109,-5.548,-41.78,2.60
Rajasthan,Chandiyawa,26.5472,74.7266,-4.71,-37.04,0.64
Rajasthan,Bubani,26.5241,74.7787,-1.189,-18.03,-8.52
Rajasthan,Kanpura,26.3807,74.8553,-0.14,-13.11,-11.99
Rajasthan,Ramsar,26.2897,74.8935,-2.356,-25.1,-6.25
Rajasthan,Soorajpura,26.3067,74.9596,-3.212,-28.33,-2.63
Rajasthan,Gangithala,25.6853,75.2970,-4.51,-34.79,1.29
Rajasthan,Kuchalwara kalan,25.7284,75.3805,-4.42,-34.54,0.82
Rajasthan,Teekar,25.7130,75.4361,-4.93,-38.13,1.31
Rajasthan,Luhari kalan,25.6375,75.3787,,,0.00
Rajasthan,Jahazpur (m),25.6251,75.2831,-5.04,-35.84,4.48
Rajasthan,Pander,25.6344,75.1944,-5.83,-42.14,4.50
Rajasthan,Indokiya,25.6159,75.1213,-3.25,-27.93,-1.93
Rajasthan,Ropan,25.5681,75.1144,-4.78,-37.39,0.85
Rajasthan,Tarniya khera,25.5496,75.1927,-3.26,-29.8,-3.72
Rajasthan,Peeploond,25.5450,75.2761,-3.64,-32.86,-3.74
Rajasthan,Khohra kalan,25.5619,75.3683,-4.2,-35.09,-1.49
Rajasthan,Nooan,28.0416,75.2787,-4.39,-31.83,3.29
Rajasthan,Wahidpura,28.0626,75.2083,-4.68,-34.03,3.41
Rajasthan,Mandawa,28.0478,75.1405,-4.65,-32.42,4.78
Rajasthan,Toliasar,28.1208,75.2022,-4.65,-33.55,3.65
Rajasthan,Bheemsar,28.1145,75.2848,-4.3,-32.27,2.13
