STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
Tamil Nadu,AVADI ,13.1092,80.1142,-3.49,-22.27,5.68
Tamil Nadu,KADAMBATTUR,13.1003,79.8619,-2.43,-21.91,-2.45
Tamil Nadu,TIRUKALUKUNDRAM,12.6061,80.0556,-2.46,-19.35,0.33
Tamil Nadu,MINJUR,13.2692,80.2642,0.03,-3.31,-3.57
Tamil Nadu,MODAKURICHI,11.2314,77.7783,-2.62,-17.79,3.2
Tamil Nadu,BHAVANI SAGAR,11.4797,77.1453,-2.44,-17.37,2.16
Tamil Nadu,ERODE EAST,11.3661,77.7169,-0.72,-4.07,1.69
Tamil Nadu,ERODE NORTH (PILLIPALAYAM)                                                      ,11.3701,77.7472,-0.48,-3.58,0.27
Tamil Nadu,NAMAKKAL,11.2177,78.1546,-2.69,-18.65,2.88
Tamil Nadu,MOHANUR,11.0589,78.1402,-1.37,-9.42,1.53
Tamil Nadu,ERUMAPATTI,11.1473,78.2875,-2.86,-20.85,2.03
Tamil Nadu,SIVAKASI,9.45,77.7917,-4.06,-30.45,2.06
Tamil Nadu,RAJAPAKYAM,9.4625,77.5417,-3.62,-24.93,4.04
Tamil Nadu,KALLURANI,9.1431,77.7719,-4.57,-35.74,0.83
Tamil Nadu,RADHAPURAM,8.2583,77.6861,-5.38,-38.17,4.88
Tamil Nadu,SANKARANKOIL,9.1528,77.5375,-4.16,-29.97,3.3
Tamil Nadu,KEERAMANGALAM,10.2935,79.1019,-4.3,-31.74,2.69
Tamil Nadu,OLLAKKUR,12.2922,79.7244,-3.83,-24.53,6.15
Tamil Nadu,ULUNDURPET,11.6908,79.2894,-3.66,-26.02,3.27
Tamil Nadu,CHETTIKULAM,11.1347,78.775,-2.66,-18.86,2.43
Tamil Nadu,PERAMBALUR,11.2306,78.5922,-1.35,-12.16,-1.4
Tamil Nadu,MANAPARAI,10.6042,78.4353,-1.46,-13.29,-1.58
Tamil Nadu,PULIVALAM,11.0136,78.6369,-1,-10.37,-2.4
Tamil Nadu,THURAIYUR,11.1414,78.5928,-0.65,-7.85,-2.64
Tamil Nadu,PAPANASAM,11.1414,78.5928,-2.31,-16.55,1.89
Tamil Nadu,KUMBAKONAM,10.9583,79.3789,-3.29,-23.96,2.4
Tamil Nadu,KUTTALAM,11.0725,79.5594,-3.21,-22.35,3.34
Tamil Nadu,NANILAM,10.8819,79.6089,-0.74,-7.97,-2.07
Tamil Nadu,KUDAVASAL,10.8631,79.4789,-3.22,-23.62,2.15
Tamil Nadu,VALANGAIMAN,10.89,79.3931,-0.58,-5.64,-1.03
Tamil Nadu,PATTUKOTTAI,10.4314,79.3081,-2.49,-21.24,-1.32
Tamil Nadu,KARAIKAL,10.9736,79.7706,-3.37,-23.69,3.29
Tamil Nadu,SIRKALI,11.2319,79.7369,-2.21,-15.61,2.03
Tamil Nadu,PUTHUR,11.3022,79.7128,-3.73,-28.1,1.7
Tamil Nadu,DHARMAPURI,12.1292,78.1722,-1.38,-11.66,-0.62
Tamil Nadu,PALAKODU,12.3042,78.0717,-1.86,-14.46,0.4
Tamil Nadu,PAPPY REDDY PATTY,11.9167,78.3361,-4.41,-32.82,2.49
Tamil Nadu,SALEM,11.6542,78.1764,-1.77,-10.35,3.79
Tamil Nadu,ATTHUR,11.5917,78.5861,-2.58,-15.72,4.94
Tamil Nadu,OMALUR,11.7417,78.04,-1.43,-9.96,1.44
Tamil Nadu,ANNUR,11.035,76.0851,-3.04,-20.73,3.58
Tamil Nadu,KINATHUKADAVU,10.8167,77.0028,-4.37,-28.63,6.32
Tamil Nadu,POLLACHI,10.6583,76.0859,-3.95,-26.9,4.68
Tamil Nadu,RENGAGOUNDAMPALAYAM,11.0697,77.0342,-3.98,-28.4,3.41
Tamil Nadu,K.PARAMARTHY,10.9667,77.0846,-1.83,-12.35,2.32
Tamil Nadu,KADAVUR,10.7306,78.0179,-2.2,-12.03,5.6
Tamil Nadu,AVINASHI,11.1978,77.0186,-3.23,-17.39,8.45
Tamil Nadu,PALLADAM,10.9917,77.0185,0.01,0.33,0.28
Tamil Nadu,PONGALUR,11.2983,77.0012,-2.27,-18.09,0.06
Tamil Nadu,KAVERIPATTINAM,12.4181,78.2163,1.09,0.31,-8.4
Tamil Nadu,KRISHNAGIRI,12.5246,78.2164,-0.9,-6.99,0.18
Tamil Nadu,BARGUR,12.5044,78.3636,-2.94,-18.68,4.8
Tamil Nadu,ARCOT,12.9049,79.3232,-2.96,-19.34,4.36
Tamil Nadu,K.V.KUPPAM,12.9564,78.9764,-3.99,-26.18,5.76
Tamil Nadu,AMBUR,12.7809,78.7174,-2.7,-20.63,0.99
Tamil Nadu,DINDIGUL,10.3642,77.9733,-1.74,-16,-2.07
Tamil Nadu,ODDANCHATRAM,10.4881,77.755,-3.82,-31.15,-0.57
Tamil Nadu,NILAKOTTAI,10.145,77.8467,-2.99,-20.54,3.39
Tamil Nadu,SEDAPATTI,9.8239,77.7992,-3.86,-27.89,2.96
Tamil Nadu,USILAMPATTI,9.9669,77.7861,-2.77,-21.87,0.32
Tamil Nadu,PALAMEDU,10.1083,78.1139,-3.83,-25.3,5.34
Tamil Nadu,ANDIPATHI,9.9958,77.6292,-3.28,-25.66,0.6
