STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
TELANGANA,PEDDAPARVATHAPUR,17.5447,78.7158,-3.12,-20.18,4.8
TELANGANA,CHIKATIMAMIDI,17.5964,78.7496,-2.08,-16.56,0.08
TELANGANA,GOPALPUR,17.6705,78.7538,-3.33,-23.24,3.4
TELANGANA,WASALMARRI,17.6722,78.8083,-3.1,-20.99,3.81
TELANGANA,DATTAIPALLI,17.6529,78.8849,-1.97,-20.38,-4.61
TELANGANA,MOTAKODUR,17.5408,79.047,-2.24,-16.89,1.03
TELANGANA,PULIGILLA,17.4586,79.0255,1.89,8.97,-6.13
TELANGANA,VALIGONDA,17.3818,79.0123,-2.77,-20.95,1.2
TELANGANA,NAGIREDDIPALLI,17.4266,78.9396,-1.7,-15.07,-1.51
TELANGANA,BHONGIR,17.5113,78.876,-2.61,-18.1,2.75
TELANGANA,WADAPARTHI,17.5584,78.8343,-3.65,-26.75,2.46
TELANGANA,CHOUTUPPAL,17.2569,78.9081,-1.72,-13.98,-0.23
TELANGANA,RAMANNAPETA,17.2867,79.0952,-0.19,-2.78,-1.24
TELANGANA,VEMULAKONDA,17.3625,79.1269,-1.91,-15.34,-0.09
TELANGANA,M.TURKAPALLI,17.4313,79.1083,-2.06,-13.67,2.79
TELANGANA,PANAKABANDA,17.4324,79.2222,-0.76,-10.15,-4.03
TELANGANA,GATTUSINGARAM,17.3546,79.3983,2.1,8.82,-8.01
TELANGANA,SURARAM,17.363,79.2253,0.39,-1.82,-4.93
TELANGANA,AMMANABOLE,17.345,79.2676,0.18,-3.19,-4.62
TELANGANA,ANKENAPALLI,17.2973,79.2404,-2.66,-15.43,5.85
TELANGANA,CHITYAL,17.2324,79.1175,-2.72,-22.6,-0.83
TELANGANA,YELIMINEDU,17.2281,79.022,0.43,0.78,-2.66
TELANGANA,CHERLAPALLI,17.1052,79.2417,-2.47,-20.78,-1.04
TELANGANA,B.VELLEMLA,17.1539,79.1341,-3.8,-29.07,1.35
TELANGANA,NARKETPALLI,17.2084,79.1896,-1.45,-14,-2.4
TELANGANA,KATTANGUR,17.3294,79.3098,-2.15,-15.1,2.11
TELANGANA,NAKREKAL,17.1752,79.4178,-2.62,-16.47,4.48
TELANGANA,WALAL,17.2443,79.2443,-1.74,-13.06,0.88
TELANGANA,CHITTALUR,17.3342,79.4476,-2.26,-17.12,0.94
TELANGANA,MADHAWARAM,17.2943,79.4554,-1.78,-13.41,0.82
TELANGANA,UPPAPAHAD,17.1548,79.5399,-0.62,-2,2.95
TELANGANA,TADAKAMALLA,16.9958,79.5726,-0.71,-6.43,-0.74
TELANGANA,THIPARTHI,17.0141,79.4135,-2.51,-20.5,-0.45
TELANGANA,KANNEKAL,16.9387,79.3918,-2.15,-16.19,1.02
TELANGANA,GAJJALAPURAM,16.9116,79.475,0.28,-0.69,-2.92
TELANGANA,NALGONDA,17.0636,79.278,-2.68,-20.34,1.12
TELANGANA,DOMALAPALLI,17.0796,79.1397,-1.33,-14.08,-3.41
TELANGANA,MUNUGODE,17.0792,79.0798,-4.93,-37.54,1.87
TELANGANA,PALIVELA,17.1323,79.0328,-3.86,-28.21,2.69
TELANGANA,GUJJALA,17.1458,78.9684,-1.94,-17.33,-1.81
TELANGANA,CHINNAKODURU,17.2966,78.9001,-2.26,-11.35,6.73
TELANGANA,YELLAGIRI,17.2653,78.8399,-3.45,-25.53,2.07
TELANGANA,D.MALKAPUR,17.2793,78.7875,-3.42,-25.91,1.42
TELANGANA,ANTHAPETA,17.2013,78.852,-4,-27.55,4.42
TELANGANA,TERATPALLI,17.0593,78.9373,-3.84,-25.73,5.01
TELANGANA,WAILPALLI,17.0956,78.8958,-5.6,-39.36,5.42
TELANGANA,RAJKONDAFORT,17.6797,78.8024,-1.28,-7.28,2.93
TELANGANA,MEHARNAGAR,17.3248,78.808,0.8,1.47,-4.95
TELANGANA,JULUR,17.3788,78.7886,1.02,3.13,-5.05
TELANGANA,BIBINAGAR,17.4702,78.7899,-3.58,-26.07,2.53
