STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
West Bengal,Akulshe,22.42861,88.21611,-4.5,-26.14,9.83
West Bengal,Daulatabad Ghature More,22.35722,88.29333,-4.69,-29.87,7.63
West Bengal,Jibanpukur More,22.37028,88.4055,0.74,15.53,9.64
West Bengal,Chhayani,22.34111,88.545,-3.3,-19.33,7.1
West Bengal,Padmerhat,22.24222,88.44806,-3.32,-19.01,7.58
West Bengal,Uttar Durgapur,22.18972,88.43389,-4.1,-26.6,6.22
West Bengal,Natundiara,22.47056,88.42889,-5.09,-34.8,5.9
West Bengal,Gangajoara,22.46333,88.44278,-4.33,-28.18,6.44
West Bengal,Mallikpur ,22.405,88.59139,-1.94,-16.25,-0.77
West Bengal,Uttar Pirpur,22.49028,88.09861,-3.09,-20.87,3.86
West Bengal,Kansona,22.43278,88.045,0.41,-3.16,-6.43
West Bengal,Moubesia Kalitala More,22.42778,88.09694,-2.08,-13.16,3.47
West Bengal,Rangmahal Khapara,22.40806,88.07861,-3.24,-21.17,4.74
West Bengal,Wari,22.53139,88.53722,-3.06,-21.39,3.07
West Bengal,Abua,22.55944,88.54472,1.73,5.81,-8.05
West Bengal,Natapukur,22.56583,88.56278,-4.65,-31.6,5.63
West Bengal,Chitrashali,23.37833,88.55556,-0.81,-16.63,-10.18
West Bengal,Chitrashali,23.37972,88.55556,3.4,12.25,-14.93
West Bengal,Chitrashali,23.37972,88.55556,-2.19,-22.15,-4.64
West Bengal,Betna,23.39028,88.60417,-5.36,-36.58,6.32
West Bengal,Dayerbazar Ghat,23.46222,88.5425,-2.57,-20.15,0.38
West Bengal,Dayerbazar,23.46556,88.54667,-5.34,-38.09,4.66
West Bengal,Dayerbazar,23.46556,88.54667,-5.1,-34.71,6.1
West Bengal,Shaligram,23.5525,88.45639,-4.19,-29.6,3.92
West Bengal,Patpukur More,23.56556,88.48472,-5.12,-35.25,5.71
West Bengal,Tilakpur,23.48361,88.49139,-4.56,-32.73,3.74
West Bengal,Digambarpur,23.48861,88.70583,-5.22,-35.88,5.85
West Bengal,Gopalpur Ghat,24.08944,88.6875,-3.83,-29.66,0.97
West Bengal,Kechuadanga,23.9875,88.70833,-4.81,-30.78,7.74
